series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status,my_comments,my_times_watched,my_rewatch_value,my_priority,my_tags,my_rewatching,my_rewatching_ep,my_discuss,my_sns,update_on_import
22297,Fate/stay night: Unlimited Blade Works,TV,12,0,12,2022-12-21,2022-12-22,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28701,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,0,13,2022-12-22,2022-12-23,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
31389,Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Special,1,0,1,2023-11-10,2023-11-10,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
55830,Fate/strange Fake,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
53127,Fate/strange Fake: Whispers of Dawn,TV Special,1,0,1,2024-03-19,2024-03-20,,0,,0.00,Completed,,0,,LOW,,0,0,1,default,0
10087,Fate/Zero,TV,13,0,13,2022-12-05,2022-12-10,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
11741,Fate/Zero 2nd Season,TV,12,0,12,2022-12-10,2022-12-12,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
36184,Feng Ling Yu Xiu,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39545,Fragtime,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
38680,Fruits Basket 1st Season,TV,25,0,25,2022-07-12,2022-07-13,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
40417,Fruits Basket 2nd Season,TV,25,0,25,2022-07-13,2022-07-16,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49310,Fruits Basket: Prelude,Movie,1,0,1,2022-10-15,2022-10-16,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
42938,Fruits Basket: The Final,TV,13,0,13,2022-07-16,2022-07-17,,10,,0.00,Completed,,0,,LOW,,0,0,1,default,0
41120,Fugou Keiji: Balance:Unlimited,TV,11,0,11,2023-01-17,2023-01-26,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
33203,Fukumenkei Noise,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
5114,Fullmetal Alchemist: Brotherhood,TV,64,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
41025,Fumetsu no Anata e,TV,20,0,20,2023-06-07,2023-07-07,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
49709,Fumetsu no Anata e Season 2,TV,20,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
54703,Fumetsu no Anata e Season 3,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
51212,Futoku no Guild,TV,12,0,6,2022-10-07,0000-00-00,,4,,0.00,Dropped,,0,,LOW,,0,0,1,default,0
19067,Future Card Buddyfight,TV,64,0,64,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
34836,Future Card Buddyfight Battsu,TV,52,0,52,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37611,Future Card Buddyfight Battsu: All-Star Fight,TV,8,0,8,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
30039,Future Card Buddyfight Hundred,TV,50,0,50,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32785,Future Card Buddyfight Triple D,TV,51,0,51,0000-00-00,0000-00-00,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37739,Future Card Shin Buddyfight,TV,47,0,47,0000-00-00,0000-00-00,,6,,0.00,Completed,,0,,LOW,,0,0,1,default,0
50425,"Fuufu Ijou, Koibito Miman.",TV,12,0,12,2022-10-10,2022-12-26,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
48649,Fuuto Tantei,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
30544,Gakusen Toshi Asterisk,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34280,Gamers!,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
54632,Gekai Elise,TV,12,0,12,2024-01-20,2024-03-29,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9kb2N0b3ItZWxpc2UtdGhlLXJveWFsLWxhZHktd2l0aC10aGUtbGFtcC0xODgyMyIsInAiOiIifQ==::,0,0,1,default,0
23289,Gekkan Shoujo Nozaki-kun,TV,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
27633,Gekkan Shoujo Nozaki-kun Specials,Special,6,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
52214,Genjitsu no Yohane: Sunshine in the Mirror,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
54968,Giji Harem,TV,12,0,5,2024-07-05,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
52481,Gimai Seikatsu,TV,12,0,12,2024-07-05,2024-09-19,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
55102,Girls Band Cry,TV,13,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39533,Given,TV,11,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
49053,Given: Uragawa no Sonzai,OVA,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
39463,Gleipnir,TV,13,0,13,2023-02-04,2023-02-04,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
37349,Goblin Slayer,TV,12,0,12,2023-03-10,2023-03-10,,6,,0.00,Completed,"I think its the same as any other fantasy anime with adventures, monster slaying, cute girls so it wasnt really much entertaining",0,,LOW,,0,0,1,default,0
47160,Goblin Slayer II,TV,12,0,1,2023-11-11,0000-00-00,,0,,0.00,On-Hold,,0,,LOW,,0,0,1,default,0
39576,Goblin Slayer: Goblin's Crown,Movie,1,0,1,2023-11-11,2023-11-11,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by93YXRjaC9nb2JsaW4tc2xheWVyLWdvYmxpbnMtY3Jvd24tMjg3OCIsInAiOiIifQ==::,0,0,1,default,0
17895,Golden Time,TV,24,0,24,0000-00-00,0000-00-00,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
56146,Good Night World,ONA,12,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
8425,Gosick,TV,24,0,0,2024-09-20,0000-00-00,,0,,0.00,Watching,,0,,LOW,,0,0,1,default,0
56843,Goukon ni Ittara Onna ga Inakatta Hanashi,TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
34279,Grancrest Senki,TV,24,0,24,2022-09-05,2022-09-08,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
287,Grappler Baki (TV),TV,24,0,24,2024-04-15,2024-04-18,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9oaWFuaW1lLnRvL2dyYXBwbGVyLWJha2ktdHYtMTc0MyIsInAiOiIifQ==::,0,0,1,default,0
551,Grappler Baki: Saidai Tournament-hen,TV,24,0,24,2024-04-18,2024-04-20,,0,,0.00,Completed,,0,,LOW,malSync::eyJ1IjoiaHR0cHM6Ly9oaWFuaW1lLnRvL2dyYXBwbGVyLWJha2ktc2FpZGFpLXRvdXJuYW1lbnQtaGVuLTE3NDQiLCJwIjoiIn0=::,0,0,1,default,0
50587,Gridman Universe,Movie,1,0,1,2023-12-08,2023-12-09,,0,,0.00,Completed,,0,,LOW,",malSync::eyJ1IjoiaHR0cHM6Ly9hbml3YXRjaC50by9ncmlkbWFuLXVuaXZlcnNlLTE4MjYxIiwicCI6IiJ9::",0,0,1,default,0
49210,Grimm Kumikyoku,ONA,6,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
55997,"Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",TV,0,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
10793,Guilty Crown,TV,22,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
20583,Haikyuu!!,TV,25,0,25,2023-06-12,2023-06-24,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,0,10,2023-06-26,2023-06-27,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
52742,Haikyuu!! Movie: Gomisuteba no Kessen,Movie,1,0,0,0000-00-00,0000-00-00,,0,,0.00,Plan to Watch,,0,,LOW,,0,0,1,default,0
40262,Haikyuu!! Riku vs. Kuu,OVA,2,0,2,2023-06-28,2023-06-28,,7,,0.00,Completed,,0,,LOW,,0,0,1,default,0
28891,Haikyuu!! Second Season,TV,25,0,25,2023-06-24,2023-06-26,,8,,0.00,Completed,,0,,LOW,,0,0,1,default,0
38883,Haikyuu!! To the Top,TV,13,0,13,2023-06-28,2023-06-30,,9,,0.00,Completed,,0,,LOW,,0,0,1,default,0
